LocationDesc,Year,GeoLocation,retail_tax_percentage,pack_consumption_pc,fed_state_tax_pp,mean_pp,state_tax_pp,cig_tax_rev
Alabama,1970,"(32.840571122, -86.631860762)",46.8,89.8,0.2,0.427,0.12,36739131
Alabama,1971,"(32.840571122, -86.631860762)",47.3,95.4,0.2,0.423,0.12,39490694
Alabama,1972,"(32.840571122, -86.631860762)",47.5,101.1,0.2,0.421,0.12,42198422
Alabama,1973,"(32.840571122, -86.631860762)",46.4,102.9,0.2,0.431,0.12,43328876
Alabama,1974,"(32.840571122, -86.631860762)",42.9,108.2,0.2,0.466,0.12,45943402
Alabama,1975,"(32.840571122, -86.631860762)",39.7,111.7,0.2,0.504,0.12,47956285
Alabama,1976,"(32.840571122, -86.631860762)",39.9,116.2,0.2,0.501,0.12,50409197
Alabama,1977,"(32.840571122, -86.631860762)",36.3,117.1,0.2,0.551,0.12,51516608
Alabama,1978,"(32.840571122, -86.631860762)",35.2,123,0.2,0.568,0.12,54460929
Alabama,1979,"(32.840571122, -86.631860762)",33.3,121.4,0.2,0.606,0.12,54496057
Alabama,1980,"(32.840571122, -86.631860762)",34.9,123.2,0.24,0.688,0.12,55701205
Alabama,1981,"(32.840571122, -86.631860762)",32.8,119.6,0.24,0.731,0.16,72852874
Alabama,1982,"(32.840571122, -86.631860762)",38.4,119.1,0.24,0.844,0.16,74641962
Alabama,1983,"(32.840571122, -86.631860762)",35.2,116.3,0.32,0.908,0.16,73371489
Alabama,1984,"(32.840571122, -86.631860762)",32.8,113,0.325,0.99,0.16,72144256
Alabama,1985,"(32.840571122, -86.631860762)",31.6,114.5,0.325,1.03,0.165,76693928
Alabama,1986,"(32.840571122, -86.631860762)",29.6,116.3,0.325,1.1,0.165,77175083
Alabama,1987,"(32.840571122, -86.631860762)",28.5,114,0.325,1.144,0.165,77097672
Alabama,1988,"(32.840571122, -86.631860762)",26.6,112.1,0.325,1.223,0.165,76529290
Alabama,1989,"(32.840571122, -86.631860762)",23.4,105.6,0.325,1.391,0.165,74959156
Alabama,1990,"(32.840571122, -86.631860762)",22.5,108.6,0.325,1.444,0.165,74656216
Alabama,1991,"(32.840571122, -86.631860762)",21.2,107.9,0.365,1.722,0.165,73585654
Alabama,1992,"(32.840571122, -86.631860762)",20.7,109.1,0.365,1.762,0.165,73149118
Alabama,1993,"(32.840571122, -86.631860762)",26.2,108.5,0.405,1.546,0.165,72619924
Alabama,1994,"(32.840571122, -86.631860762)",26.1,107.1,0.405,1.551,0.165,72324900
Alabama,1995,"(32.840571122, -86.631860762)",25.6,102.6,0.405,1.583,0.165,70450119
Alabama,1996,"(32.840571122, -86.631860762)",24.2,101.4,0.405,1.674,0.165,70950600
Alabama,1997,"(32.840571122, -86.631860762)",22.4,104.9,0.405,1.805,0.165,73953302
Alabama,1998,"(32.840571122, -86.631860762)",20.7,106.2,0.405,1.956,0.165,74878439
Alabama,1999,"(32.840571122, -86.631860762)",15,100.7,0.405,2.707,0.165,71844367
Alabama,2000,"(32.840571122, -86.631860762)",17.5,96.2,0.505,2.884,0.165,70664938
Alabama,2001,"(32.840571122, -86.631860762)",15.6,90.5,0.505,3.23,0.165,66373279
Alabama,2002,"(32.840571122, -86.631860762)",16.9,84.8,0.555,3.282,0.165,62450667
Alabama,2003,"(32.840571122, -86.631860762)",17.2,82.2,0.555,3.234,0.165,61161426
Alabama,2004,"(32.840571122, -86.631860762)",22.8,87.9,0.815,3.569,0.425,71463596
Alabama,2005,"(32.840571122, -86.631860762)",22.9,82.4,0.815,3.56,0.425,158457030
Alabama,2006,"(32.840571122, -86.631860762)",23.1,83.3,0.815,3.535,0.425,161434908
Alabama,2007,"(32.840571122, -86.631860762)",21.7,80.2,0.815,3.759,0.425,156820995
Alabama,2008,"(32.840571122, -86.631860762)",21.7,78,0.815,3.752,0.425,153461159
Alabama,2009,"(32.840571122, -86.631860762)",31.6,75.6,1.435,4.548,0.425,149746028
Alabama,2010,"(32.840571122, -86.631860762)",30.4,71.5,1.435,4.726,0.425,143144386
Alabama,2011,"(32.840571122, -86.631860762)",29.6,68.4,1.435,4.845,0.425,138999738
Alabama,2012,"(32.840571122, -86.631860762)",29.6,67.2,1.435,4.841,0.425,137207735
Alabama,2013,"(32.840571122, -86.631860762)",29,64.6,1.435,4.942,0.425,132215587
Alabama,2014,"(32.840571122, -86.631860762)",28.1,61.7,1.435,5.102,0.425,126853195
Alabama,2015,"(32.840571122, -86.631860762)",31.8,60.7,1.685,5.305,0.425,125105125
Alabama,2016,"(32.840571122, -86.631860762)",31.1,60.1,1.685,5.41,0.675,163948123
Alabama,2017,"(32.840571122, -86.631860762)",30.9,58.1,1.685,5.452,0.675,180386973
Alabama,2018,"(32.840571122, -86.631860762)",30.4,54.7,1.685,5.55,0.675,172649066
Alabama,2019,"(32.840571122, -86.631860762)",29.1,53.1,1.685,5.784,0.675,165763113
Alaska,1970,"(64.845079957001, -147.722059036)",38.3,121.3,0.16,0.418,0.08,2737000
Alaska,1971,"(64.845079957001, -147.722059036)",38,123,0.16,0.421,0.08,2996000
Alaska,1972,"(64.845079957001, -147.722059036)",38.1,130,0.16,0.42,0.08,3255000
Alaska,1973,"(64.845079957001, -147.722059036)",36.5,125.8,0.16,0.438,0.08,3274000
Alaska,1974,"(64.845079957001, -147.722059036)",35.6,130.4,0.16,0.449,0.08,3444000
Alaska,1975,"(64.845079957001, -147.722059036)",33.1,150.4,0.16,0.483,0.08,4056000
Alaska,1976,"(64.845079957001, -147.722059036)",31.1,164.8,0.16,0.515,0.08,4649000
Alaska,1977,"(64.845079957001, -147.722059036)",28.4,159.3,0.16,0.563,0.08,4868000
Alaska,1978,"(64.845079957001, -147.722059036)",28,143.6,0.16,0.571,0.08,4676000
Alaska,1979,"(64.845079957001, -147.722059036)",26.3,138.1,0.16,0.609,0.08,4451000
Alaska,1980,"(64.845079957001, -147.722059036)",25.2,134,0.16,0.635,0.08,4351000
Alaska,1981,"(64.845079957001, -147.722059036)",22,144,0.16,0.728,0.08,4607000
Alaska,1982,"(64.845079957001, -147.722059036)",18.6,148.3,0.16,0.86,0.08,4888000
Alaska,1983,"(64.845079957001, -147.722059036)",24.9,146.9,0.24,0.962,0.08,5148000
Alaska,1984,"(64.845079957001, -147.722059036)",23.4,133.6,0.24,1.027,0.08,5341000
Alaska,1985,"(64.845079957001, -147.722059036)",29.1,128.9,0.32,1.1,0.08,5395000
Alaska,1986,"(64.845079957001, -147.722059036)",26.3,126.3,0.32,1.215,0.16,8191000
Alaska,1987,"(64.845079957001, -147.722059036)",25.6,110.4,0.32,1.254,0.16,9503000
Alaska,1988,"(64.845079957001, -147.722059036)",23,80,0.32,1.394,0.16,8865000
Alaska,1989,"(64.845079957001, -147.722059036)",26.4,94.4,0.45,1.702,0.16,8130515
Alaska,1990,"(64.845079957001, -147.722059036)",22.3,100.2,0.45,2.017,0.16,13450527
Alaska,1991,"(64.845079957001, -147.722059036)",23.6,101.8,0.49,2.073,0.29,16377954
Alaska,1992,"(64.845079957001, -147.722059036)",22.4,98.5,0.49,2.191,0.29,15812651
Alaska,1993,"(64.845079957001, -147.722059036)",26.9,95.2,0.54,2.009,0.29,15321090
Alaska,1994,"(64.845079957001, -147.722059036)",25.2,94.1,0.53,2.014,0.29,15548000
Alaska,1995,"(64.845079957001, -147.722059036)",24.9,89.5,0.53,2.125,0.29,15752759
Alaska,1996,"(64.845079957001, -147.722059036)",24.7,89.9,0.53,2.144,0.29,15907733
Alaska,1997,"(64.845079957001, -147.722059036)",41.8,81.7,1.24,2.97,0.29,14379771
Alaska,1998,"(64.845079957001, -147.722059036)",37.9,78.6,1.24,3.276,0.29,28431309
Alaska,1999,"(64.845079957001, -147.722059036)",30.6,70.5,1.24,4.047,1,42915000
Alaska,2000,"(64.845079957001, -147.722059036)",30.5,66,1.34,4.397,1,43091506
Alaska,2001,"(64.845079957001, -147.722059036)",30.2,65.2,1.34,4.433,1,40893899
Alaska,2002,"(64.845079957001, -147.722059036)",30.3,63.7,1.39,4.591,1,40434020
Alaska,2003,"(64.845079957001, -147.722059036)",31.5,63.6,1.39,4.415,1,40239153
Alaska,2004,"(64.845079957001, -147.722059036)",27.6,63.6,1.39,5.03,1,41260582
Alaska,2005,"(64.845079957001, -147.722059036)",35.5,60.2,1.99,5.61,1.6,48750294
